AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05767219513654709], 'accuracy': [0.9835833311080933]}
AGGREGATE_EVALUATE: {'loss': [0.07977025955915451], 'accuracy': [0.9753000140190125]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.045934733003377914], 'accuracy': [0.9868000149726868]}
AGGREGATE_EVALUATE: {'loss': [0.07226229459047318], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.043060336261987686], 'accuracy': [0.9877833127975464]}
AGGREGATE_EVALUATE: {'loss': [0.07062026113271713], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04220249503850937], 'accuracy': [0.988016664981842]}
AGGREGATE_EVALUATE: {'loss': [0.07016091048717499], 'accuracy': [0.9764000177383423]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0419272854924202], 'accuracy': [0.9881166815757751]}
AGGREGATE_EVALUATE: {'loss': [0.07001695036888123], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04183663800358772], 'accuracy': [0.9881333112716675]}
AGGREGATE_EVALUATE: {'loss': [0.06996996700763702], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04180653765797615], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06995437294244766], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.041796550154685974], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.069949209690094], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179319366812706], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.0699475035071373], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179208725690842], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994694471359253], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179169982671738], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994673609733582], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179161414504051], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994669139385223], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179157689213753], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994666159152985], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179157316684723], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994666159152985], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994666904211044], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.04179156571626663], 'accuracy': [0.9881500005722046]}
AGGREGATE_EVALUATE: {'loss': [0.06994667649269104], 'accuracy': [0.9764999747276306]}
