AGGREGATE_SEMIASYNC_FIT: {'loss': [0.07479742169380188], 'accuracy': [0.9781000018119812]}
AGGREGATE_EVALUATE: {'loss': [0.09801515191793442], 'accuracy': [0.9707000255584717]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.058727145195007324], 'accuracy': [0.98253333568573]}
AGGREGATE_EVALUATE: {'loss': [0.08807594329118729], 'accuracy': [0.9732999801635742]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05360066890716553], 'accuracy': [0.9842000007629395]}
AGGREGATE_EVALUATE: {'loss': [0.08596749603748322], 'accuracy': [0.9728999733924866]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0516529455780983], 'accuracy': [0.9847333431243896]}
AGGREGATE_EVALUATE: {'loss': [0.08544239401817322], 'accuracy': [0.9729999899864197]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05081401392817497], 'accuracy': [0.9850333333015442]}
AGGREGATE_EVALUATE: {'loss': [0.08530154079198837], 'accuracy': [0.9728999733924866]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050425976514816284], 'accuracy': [0.9852666854858398]}
AGGREGATE_EVALUATE: {'loss': [0.08526292443275452], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05023934319615364], 'accuracy': [0.9853166937828064]}
AGGREGATE_EVALUATE: {'loss': [0.08525250852108002], 'accuracy': [0.9728999733924866]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05014815926551819], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524917811155319], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050102926790714264], 'accuracy': [0.9853166937828064]}
AGGREGATE_EVALUATE: {'loss': [0.08524801582098007], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050080567598342896], 'accuracy': [0.9853166937828064]}
AGGREGATE_EVALUATE: {'loss': [0.08524753898382187], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05006939545273781], 'accuracy': [0.9853166937828064]}
AGGREGATE_EVALUATE: {'loss': [0.08524727821350098], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050063781440258026], 'accuracy': [0.9853166937828064]}
AGGREGATE_EVALUATE: {'loss': [0.08524717390537262], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05006103962659836], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524715155363083], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050059638917446136], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524711430072784], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005895718932152], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709939956665], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005866289138794], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524714410305023], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005846172571182], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005837231874466], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005832016468048], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524710685014725], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.05005829408764839], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524710685014725], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.050058282911777496], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582717359066], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582717359066], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582754611969], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709939956665], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582791864872], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582791864872], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582791864872], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582791864872], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
AGGREGATE_SEMIASYNC_FIT: {'loss': [0.0500582791864872], 'accuracy': [0.9853333234786987]}
AGGREGATE_EVALUATE: {'loss': [0.08524709194898605], 'accuracy': [0.9731000065803528]}
